,name,cate_1,cate_2,cate_3,state,dong,lon,lat
38923,아이비푸드성신여대교내식당1,기타음식업,구내식당/자급식음식점,기관구내식당업,성북구,동선동,37.591675695620204,127.021990256385
39049,배스킨라빈스31,패스트푸드,아이스크림판매,제과점업,성북구,월곡1동,37.611456979579,127.03554951690501
39061,동부시장,종합소매점,시장/종합상가,기타 음·식료품 위주 종합 소매업,동대문구,답십리1동,37.567566833015704,127.05218982137698
39090,CU,종합소매점,편의점,체인화 편의점,성북구,길음1동,37.6087177244867,127.019139507764
39130,홍릉보석,시계/귀금속소매,시계/귀금속,시계 및 귀금속 소매업,동대문구,청량리동,37.5865457795724,127.042506110543
39131,CU,종합소매점,편의점,체인화 편의점,성북구,월곡1동,37.606351544385,127.040394874251
39146,대게축제,일식/수산물,바닷가재/게요리전문,한식 음식점업,성북구,석관동,37.6121761167963,127.06103632337098
39235,회기농장,한식,갈비/삼겹살,한식 음식점업,동대문구,이문1동,37.595886814204604,127.062362135326
39239,아띠올레,양식,스테이크전문점,서양식 음식점업,성북구,성북동,37.5945217853006,126.99291865557899
39340,발칙한맥주,유흥주점,호프/맥주,기타 주점업,동대문구,이문2동,37.6028596541348,127.065615548037
39350,포텐스터디카페,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,성북구,월곡1동,37.6108449857009,127.035636704643
39366,화덕고,한식,한식/백반/한정식,한식 음식점업,동대문구,이문1동,37.5949473951689,127.059803383668
39401,벨라빈스커피길음뉴타운점,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,성북구,길음1동,37.605047834341704,127.022075690652
39525,치킨마루,닭/오리요리,후라이드/양념치킨,치킨 전문점,동대문구,이문2동,37.6007399982368,127.06875639078501
39570,해물마을,일식/수산물,해물찜/탕전문,한식 음식점업,동대문구,장안2동,37.575809118337496,127.06888581563
39581,GS25고대병원점,종합소매점,편의점,체인화 편의점,성북구,안암동,37.5870983380348,127.02634146934601
39602,여우도시락,패스트푸드,도시락전문점,한식 음식점업,동대문구,답십리1동,37.5703433251119,127.05010567667601
39618,코코노포,한식,한식/백반/한정식,한식 음식점업,동대문구,용신동,37.576130602198894,127.039288445198
39648,뚜레쥬르,제과제빵떡케익,제과점,제과점업,동대문구,회기동,37.593766447768104,127.050725248402
